data;region;province;latitude;longitude;av_temperature;rel_humidity;precipitation;wind_speed;human_population;new_cases
15/07/2020;Andalucía;Sevilla;37.3890924;-5.9844589;30.5;38.3;0;11.3;1950219;1
22/07/2020;Andalucía;Sevilla;37.3890924;-5.9844589;27.9;55.6;0;9.7;1950219;0
29/07/2020;Andalucía;Sevilla;37.3890924;-5.9844589;28.7;51.4;0;11.7;1950219;2
05/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;30.4;42.1;0;9.3;1950219;9
12/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;24.1;66.3;0;14.5;1950219;19
19/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;29.2;34.6;0;9.1;1950219;12
26/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;30.2;44.2;0;8.2;1950219;9
26/08/2020;Andalucía;Cádiz;36.5210142;-6.2804565;26.9;70.5;0;10;1244049;1
02/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;25;55.9;0;7.7;1950219;1
02/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;22.8;66.5;0;11.8;1244049;5
09/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;27;43.8;0;8;1950219;2
09/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;25.4;56.6;0;15.9;1244049;5
09/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;23.8;30.2;0;4.4;669943;2
16/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;25;67.7;0;7.6;1950219;1
16/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;23.3;80.6;0.4;8.8;1244049;2
16/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;23.6;54.8;0;6.4;669943;1
23/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;23;68.9;0.1;10.3;1950219;0
23/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;23.3;73.7;0;10.9;1244049;1
23/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;21.5;78.7;0;7.3;669943;2
30/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;22.5;60.4;0;8.3;1950219;0
30/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;21.9;68.9;0;8.9;1244049;0
30/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;20.7;56.6;0;8.2;669943;1
07/10/2020;Andalucía;Sevilla;37.3890924;-5.9844589;23.8;47.2;0;5.6;1950219;0
07/10/2020;Andalucía;Cádiz;36.5210142;-6.2804565;21.4;54.7;0;7.4;1244049;0
